run,dl,ul,ping,record time
362,274.722,242.463,11.626,2023-09-26 16:41:19
363,245.074,225.049,11.626,2023-09-26 16:42:19
364,246.046,238.819,11.626,2023-09-26 16:43:20
365,249.448,241.445,11.626,2023-09-26 16:44:20
366,240.871,243.286,11.626,2023-09-26 16:45:21
367,275.396,235.83,11.626,2023-09-26 16:46:21
368,260.899,227.698,11.626,2023-09-26 16:47:22
369,258.906,246.325,11.626,2023-09-26 16:48:23
370,250.188,246.85,11.626,2023-09-26 16:49:23
371,183.345,232.861,11.626,2023-09-26 16:50:24
372,234.391,248.861,11.626,2023-09-26 16:51:24
373,207.189,215.64,11.626,2023-09-26 16:52:25
374,260.181,236.392,11.626,2023-09-26 16:53:25
375,251.415,249.764,11.626,2023-09-26 16:54:26
376,274.108,232.275,11.626,2023-09-26 16:55:26
377,246.89,240.055,11.626,2023-09-26 16:56:26
378,256.854,247.225,11.626,2023-09-26 16:57:27
379,253.844,242.122,11.626,2023-09-26 16:58:27
380,260.206,247.516,11.626,2023-09-26 16:59:27
381,322.98,237.593,11.626,2023-09-26 17:00:28
382,210.88,226.385,11.626,2023-09-26 17:01:29
383,237.056,31.967,11.626,2023-09-26 17:02:58
384,594.718,265.249,11.626,2023-09-26 17:03:53
385,189.322,190.432,11.626,2023-09-26 17:04:55
386,209.744,210.746,11.626,2023-09-26 17:05:56
387,198.371,195.703,11.626,2023-09-26 17:06:58
388,202.865,223.021,11.626,2023-09-26 17:07:59
389,238.852,242.654,11.626,2023-09-26 17:08:59
390,264.319,245.329,11.626,2023-09-26 17:10:00
391,297.078,202.947,11.626,2023-09-26 17:11:01
392,229.732,235.307,11.626,2023-09-26 17:12:02
393,256.659,243.308,11.626,2023-09-26 17:13:02
394,290.644,243.5,11.626,2023-09-26 17:14:02
395,267.237,236.654,11.626,2023-09-26 17:15:03
396,256.243,236.582,11.626,2023-09-26 17:16:03
397,270.583,239.519,11.626,2023-09-26 17:17:04
398,253.304,238.533,11.626,2023-09-26 17:18:04
399,281.419,236.06,11.626,2023-09-26 17:19:05
400,267.038,245.419,11.626,2023-09-26 17:20:05
401,251.678,242.68,11.626,2023-09-26 17:21:05
402,253.391,241.057,11.626,2023-09-26 17:22:06
403,264.906,245.971,11.626,2023-09-26 17:23:06
404,286.156,245.058,11.626,2023-09-26 17:24:06
405,288.326,245.46,11.626,2023-09-26 17:25:07
406,252.891,248.103,11.626,2023-09-26 17:26:07
407,244.996,236.129,11.626,2023-09-26 17:27:08
408,259.414,241.447,11.626,2023-09-26 17:28:08
409,245.082,245.011,11.626,2023-09-26 17:29:08
410,245.549,238.181,11.626,2023-09-26 17:30:09
411,251.526,242.388,11.626,2023-09-26 17:31:09
412,210.988,223.018,11.626,2023-09-26 17:32:10
413,262.615,237.244,11.626,2023-09-26 17:33:11
414,270.879,242.446,11.626,2023-09-26 17:34:11
415,220.348,212.679,11.626,2023-09-26 17:35:12
416,236.609,75.542,11.626,2023-09-26 17:36:42
417,228.254,239.829,11.626,2023-09-26 17:37:43
418,258.192,245.642,11.626,2023-09-26 17:38:43
419,274.238,245.216,11.626,2023-09-26 17:39:43
420,287.595,241.144,11.626,2023-09-26 17:40:43
421,192.274,210.2,11.626,2023-09-26 17:41:45
422,283,241.815,11.626,2023-09-26 17:42:45
423,274.944,244.648,11.626,2023-09-26 17:43:45
424,252.459,241.481,11.626,2023-09-26 17:44:46
425,239.656,239.601,11.626,2023-09-26 17:45:46
426,268.061,248.117,11.626,2023-09-26 17:46:46
427,263.82,250.555,11.626,2023-09-26 17:47:47
428,200.046,170.771,11.626,2023-09-26 17:48:49
429,208.371,221.878,11.626,2023-09-26 17:49:50
430,297.164,226.354,11.626,2023-09-26 17:50:51
431,265.749,243.163,11.626,2023-09-26 17:51:51
432,278.462,248.083,11.626,2023-09-26 17:52:51
433,251.557,241.92,11.626,2023-09-26 17:53:52
434,275.584,236.202,11.626,2023-09-26 17:54:52
435,165.597,212.288,11.626,2023-09-26 17:55:54
436,275.994,214.645,11.626,2023-09-26 17:56:55
437,243.56,244.034,11.626,2023-09-26 17:57:55
438,259.764,242.374,11.626,2023-09-26 17:58:55
439,278.673,233.008,11.626,2023-09-26 17:59:56
440,266.168,240.961,11.626,2023-09-26 18:00:56
441,252.803,245.275,11.626,2023-09-26 18:01:57
442,290.134,241.129,11.626,2023-09-26 18:02:57
443,254.674,244.33,11.626,2023-09-26 18:03:57
444,240.886,246.543,11.626,2023-09-26 18:04:58
445,288.868,244.781,11.626,2023-09-26 18:05:58
446,267.821,240.045,11.626,2023-09-26 18:06:58
447,224.827,37.639,11.626,2023-09-26 18:08:28
448,240.893,241.647,11.626,2023-09-26 18:09:29
449,258.374,244.536,11.626,2023-09-26 18:10:29
450,275.107,244.146,11.626,2023-09-26 18:11:30
451,253.483,244.909,11.626,2023-09-26 18:12:30
452,229.979,241.115,11.626,2023-09-26 18:13:30
453,247.704,245.865,11.626,2023-09-26 18:14:31
454,271.385,241.137,11.626,2023-09-26 18:15:31
455,288.797,248.324,11.626,2023-09-26 18:16:31
456,263.456,240.852,11.626,2023-09-26 18:17:32
457,243.259,245.342,11.626,2023-09-26 18:18:32
458,209.176,186.812,11.626,2023-09-26 18:19:35
459,270.006,240.224,11.626,2023-09-26 18:20:35
460,276.744,244.677,11.626,2023-09-26 18:21:35
461,275.065,248.516,11.626,2023-09-26 18:22:36
462,240.994,246.504,11.626,2023-09-26 18:23:36
463,247.799,241.229,11.626,2023-09-26 18:24:36
464,223.932,222.35,11.626,2023-09-26 18:25:37
465,260.127,248.472,11.626,2023-09-26 18:26:37
466,300.854,246.039,11.626,2023-09-26 18:27:38
467,253.107,243.279,11.626,2023-09-26 18:28:38
468,313.717,247.597,11.626,2023-09-26 18:29:38
469,293.44,241.587,11.626,2023-09-26 18:30:39
470,248.844,246.453,11.626,2023-09-26 18:31:39
471,248.778,243.608,11.626,2023-09-26 18:32:39
472,253.557,245.261,11.626,2023-09-26 18:33:40
473,263.035,251.254,11.626,2023-09-26 18:34:40
474,234.231,242.87,11.626,2023-09-26 18:35:40
475,255.571,248.12,11.626,2023-09-26 18:36:40
476,603.166,267.516,11.626,2023-09-26 18:37:36
477,558.992,264.015,11.626,2023-09-26 18:38:32
478,643.082,266.413,11.626,2023-09-26 18:39:27
479,597.186,266.126,11.626,2023-09-26 18:40:22
480,561.577,267.247,11.626,2023-09-26 18:41:18
481,642.392,267.107,11.626,2023-09-26 18:42:13
482,740.978,266.827,11.626,2023-09-26 18:43:07
483,589.958,267.695,11.626,2023-09-26 18:44:02
484,195.781,224.912,11.626,2023-09-26 18:45:03
485,165.743,183.13,11.626,2023-09-26 18:46:06
486,86.91,0,11.626,2023-09-26 18:47:28
487,707.525,263.461,11.626,2023-09-26 18:48:23
488,718.92,262.031,11.626,2023-09-26 18:49:17
489,739.557,264.13,11.626,2023-09-26 18:50:11
490,732.289,263.133,11.626,2023-09-26 18:51:06
