Run Count Download - Upload - PING Record Time
205 244.202 Mbps - 238.396 Mbps - 11.626 2023-09-26 14:03:52.903755
206 248.749 Mbps - 45.735 Mbps - 11.626 2023-09-26 14:05:21.177671
207 195.443 Mbps - 213.671 Mbps - 11.626 2023-09-26 14:06:22.568891
208 223.328 Mbps - 237.665 Mbps - 11.626 2023-09-26 14:07:23.188234
209 266.186 Mbps - 244.382 Mbps - 11.626 2023-09-26 14:08:23.530805
210 251.196 Mbps - 233.555 Mbps - 11.626 2023-09-26 14:09:24.176527
211 231.294 Mbps - 208.484 Mbps - 11.626 2023-09-26 14:10:25.409681
212 244.996 Mbps - 239.768 Mbps - 11.626 2023-09-26 14:11:25.846061
213 259.91 Mbps - 241.603 Mbps - 11.626 2023-09-26 14:12:26.271048
214 259.587 Mbps - 245.278 Mbps - 11.626 2023-09-26 14:13:26.565088
215 279.459 Mbps - 244.187 Mbps - 11.626 2023-09-26 14:14:27.019009
216 262.069 Mbps - 227.642 Mbps - 11.626 2023-09-26 14:15:27.714008
217 242.902 Mbps - 241.232 Mbps - 11.626 2023-09-26 14:16:28.150431
218 248.352 Mbps - 232.934 Mbps - 11.626 2023-09-26 14:17:28.710889
219 240.192 Mbps - 245.372 Mbps - 11.626 2023-09-26 14:18:29.049176
220 211.397 Mbps - 26.463 Mbps - 11.626 2023-09-26 14:19:57.933004
221 638.949 Mbps - 263.44 Mbps - 11.626 2023-09-26 14:20:53.026740
222 609.936 Mbps - 264.376 Mbps - 11.626 2023-09-26 14:21:48.568318
223 246.564 Mbps - 241.41 Mbps - 11.626 2023-09-26 14:22:49.007253
224 258.768 Mbps - 245.644 Mbps - 11.626 2023-09-26 14:23:49.328508
225 256.324 Mbps - 239.563 Mbps - 11.626 2023-09-26 14:24:49.775860
226 259.633 Mbps - 245.478 Mbps - 11.626 2023-09-26 14:25:50.121094
227 268.406 Mbps - 243.879 Mbps - 11.626 2023-09-26 14:26:50.436761
228 252.355 Mbps - 241.559 Mbps - 11.626 2023-09-26 14:27:50.814612
229 261.237 Mbps - 240.498 Mbps - 11.626 2023-09-26 14:28:51.237022
230 265.483 Mbps - 242.183 Mbps - 11.626 2023-09-26 14:29:51.620315
231 251.46 Mbps - 227.294 Mbps - 11.626 2023-09-26 14:30:52.286020
232 263.417 Mbps - 246.7 Mbps - 11.626 2023-09-26 14:31:52.542701
